Status,GlobalSeq,Year,SeqInYear,Author,Work,PlanSelection,GreatIdeas,BeforeReading,DuringReading,AfterReading,Hook,ResourceKeys,ResourceTitles,ResourceURLs,Themes,GreatBooksSet,PlacementNote
Not Started,1,1,1,Plato,Apology,Focus: Socrates' defense; 'gadfly' mission; the examined life; sentencing (Read whole; then re-read these anchors),Courage; Dialectic; Duty; Justice; Knowledge; Law; Education; Truth,OYC PLSC 114 — watch the Socratic citizenship / Republic lectures that match this reading.,Gregory B. Sadler — use/search: “Plato Apology text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Courage; Dialectic; Duty; Justice: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Courage; Dialectic; Duty; Justice; Knowledge; Law; Truth; Education,Core (1952),
Not Started,2,1,2,Plato,Crito,Focus: justice vs law; social contract argument; why Socrates refuses escape (Read whole; then re-read these anchors),Law; Justice; Government; Citizen; Duty; Liberty; Dialectic; Education,OYC PLSC 114 — watch the Socratic citizenship / Republic lectures that match this reading.,Gregory B. Sadler — use/search: “Plato Crito text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Law; Justice; Government; Citizen: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Law; Justice; Government; Citizen; Duty; Liberty; Dialectic; Education,Core (1952),
Not Started,3,1,3,Aristophanes,Clouds,Focus: Socratic caricature; education vs tradition; satire of sophistry (Read whole; then re-read these anchors),Education; Art; Custom and Convention; Democracy; Desire; Government; Experience; Rhetoric,National Theatre — Greek Theatre Video Collection on Greek comedy and satyr drama; pair with OYC Greek History context on Athens.,Performance/lecture cue — use/search: “Aristophanes Clouds Greek comedy”,Crash Course Theater and Drama — comedy and ancient theatre context; then ask what satire can know that philosophy misses.,"Watch for Education; Art; Custom and Convention; Democracy: comedy is civic diagnosis through ridicule, appetite, sex, money, and fantasy.",PBS_GREEKS; NAT_GREEK; CRASH_THEATER; OYC_GREEK,PBS Empires — The Greeks: Crucible of Civilization; National Theatre — Greek Theatre Video Collection; Crash Course Theater and Drama; Open Yale CLCV 205 — Introduction to Ancient Greek History,https://www.pbs.org/empires/thegreeks/; https://www.nationaltheatre.org.uk/learn-explore/greek-theatre-video-collection/; https://thecrashcourse.com/topic/theaterdrama/; https://oyc.yale.edu/classics/clcv-205,Education; Art; Custom and Convention; Democracy; Desire; Government; Rhetoric; Experience,Core (1952),
Not Started,4,1,4,Aristophanes,Lysistrata,Focus: civic comedy; war critique; gender/power reversal; chorus debates (Read whole; then re-read these anchors),Art; Custom and Convention; Democracy; Desire; Education; Government; Courage; Rhetoric,National Theatre — Greek Theatre Video Collection on Greek comedy and satyr drama; pair with OYC Greek History context on Athens.,Performance/lecture cue — use/search: “Aristophanes Lysistrata Greek comedy”,Crash Course Theater and Drama — comedy and ancient theatre context; then ask what satire can know that philosophy misses.,"Watch for Art; Custom and Convention; Democracy; Desire: comedy is civic diagnosis through ridicule, appetite, sex, money, and fantasy.",PBS_GREEKS; NAT_GREEK; CRASH_THEATER; OYC_GREEK,PBS Empires — The Greeks: Crucible of Civilization; National Theatre — Greek Theatre Video Collection; Crash Course Theater and Drama; Open Yale CLCV 205 — Introduction to Ancient Greek History,https://www.pbs.org/empires/thegreeks/; https://www.nationaltheatre.org.uk/learn-explore/greek-theatre-video-collection/; https://thecrashcourse.com/topic/theaterdrama/; https://oyc.yale.edu/classics/clcv-205,Art; Custom and Convention; Democracy; Desire; Education; Government; Rhetoric; Courage,Core (1952),
Not Started,5,1,5,Plato,Republic,Book I-II,Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,OYC PLSC 114 — watch the Socratic citizenship / Republic lectures that match this reading.,Gregory B. Sadler — use/search: “Plato Republic text lecture core concepts”,Bryan Magee — Plato episode; then write the question Plato leaves harder than he found it.,Watch for Citizen; Democracy; Education; Good and Evil: Plato rarely hands you a doctrine first; he stages a soul learning how to ask.,OYC_POLPHIL; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,Core (1952),
Not Started,6,1,6,Aristotle,Nicomachean Ethics,Book I,Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,OYC PLSC 114 — Aristotle/polis lectures; then Harvard Justice for the modern moral-political pressure points.,Gregory B. Sadler — use/search: “Aristotle Nicomachean Ethics text lecture”,Bryan Magee — Aristotle episode; compare Aristotle’s teleology with modern rights and utility.,Watch for Duty; Happiness; Justice; Pleasure and Pain: Aristotle begins from practices and asks what form of life lets a thing become itself.,OYC_POLPHIL; HARVARD_JUSTICE; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,Core (1952),
Not Started,7,1,7,Aristotle,Politics,Book I,Aristocracy; Citizen; Constitution; Democracy; Government; Law; Monarchy; Oligarchy,OYC PLSC 114 — Aristotle/polis lectures; then Harvard Justice for the modern moral-political pressure points.,Gregory B. Sadler — use/search: “Aristotle Politics text lecture”,Bryan Magee — Aristotle episode; compare Aristotle’s teleology with modern rights and utility.,Watch for Aristocracy; Citizen; Constitution; Democracy: Aristotle begins from practices and asks what form of life lets a thing become itself.,OYC_POLPHIL; HARVARD_JUSTICE; SADLER; MAGEE,Open Yale PLSC 114 — Introduction to Political Philosophy; Harvard Justice — Michael Sandel course videos; Gregory B. Sadler — philosophy text lectures and core concepts; Bryan Magee — Great Philosophers / Men of Ideas interviews,https://oyc.yale.edu/political-science/plsc-114; https://justiceharvard.org/; https://www.youtube.com/@GregoryBSadler; https://www.openculture.com/2012/05/bryan_magees_in-depth_uncut_tv_conversations_with_famous_philosophers_1978-87.html,Aristocracy; Citizen; Constitution; Democracy; Government; Law; Monarchy; Oligarchy,Core (1952),
Not Started,8,1,8,Plutarch,Lives,Lycurgus; Numa Pompilius; Lycurgus and Numa Compared; Alexander; Caesar,Courage; Government; History; Honor; Justice; State; Virtue and Vice,Crash Course World History — Roman Republic/Roman Empire context; then OYC Roman Architecture for empire as a visible political order.,Lecture/documentary cue — use/search: “Plutarch Lives Rome virtue empire decline”,BBC Civilisation or OYC European Civilization — use the fall/legacy of Rome as the bridge to Christianity and modern Europe.,"Watch for Courage; Government; History; Honor: Rome turns character into public consequence: virtue, ambition, empire, decay, and institutional memory.",CRASH_WORLD; OYC_ROMANARCH; OYC_EUROCIV; BBC_CIVILISATION,"Crash Course World History; Open Yale HSAR 252 — Roman Architecture; Open Yale HIST 202 — European Civilization, 1648–1945; Kenneth Clark — Civilisation",https://www.youtube.com/playlist?list=PLBDA2E52FB1EF80C9; https://oyc.yale.edu/history-of-art/hsar-252; https://oyc.yale.edu/history/hist-202; https://www.bbcselect.com/watch/civilisation/,Courage; Government; History; Honor; Justice; State; Virtue and Vice,Core (1952),
Not Started,9,1,9,New Testament,Gospel of Matthew,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Duty; Justice; Law; Life and Death; Love; Religion; Sin,BibleProject — overview video for Gospel of Matthew; then OYC New Testament lecture on historical context.,Open Yale RLST 152 — use/search: “Gospel of Matthew New Testament lecture”,"PBS Battle for the Bible — connect apostolic text to canon, translation, church authority, and reform.","Watch for God; Duty; Justice; Law: the text’s influence comes from how theology, community, history, and interpretation lock together.",BIBLEPROJECT; OYC_NT; PBS_BATTLE_BIBLE,BibleProject — Bible book overview videos; Open Yale RLST 152 — Introduction to New Testament History and Literature; PBS Secrets of the Dead — Battle for the Bible,https://bibleproject.com/videos/collections/; https://oyc.yale.edu/religious-studies/rlst-152; https://www.pbs.org/wnet/secrets/battle-for-the-bible-about-the-episode/7154/,God; Religion; Sin; Duty; Justice; Law; Life and Death; Love,Core (1952),
Not Started,10,1,10,New Testament,Acts of the Apostles,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Duty; Justice; Law; Life and Death; Love; Religion; Sin,BibleProject — overview video for Acts of the Apostles; then OYC New Testament lecture on historical context.,Open Yale RLST 152 — use/search: “Acts of the Apostles New Testament lecture”,"PBS Battle for the Bible — connect apostolic text to canon, translation, church authority, and reform.","Watch for God; Duty; Justice; Law: the text’s influence comes from how theology, community, history, and interpretation lock together.",BIBLEPROJECT; OYC_NT; PBS_BATTLE_BIBLE,BibleProject — Bible book overview videos; Open Yale RLST 152 — Introduction to New Testament History and Literature; PBS Secrets of the Dead — Battle for the Bible,https://bibleproject.com/videos/collections/; https://oyc.yale.edu/religious-studies/rlst-152; https://www.pbs.org/wnet/secrets/battle-for-the-bible-about-the-episode/7154/,God; Religion; Sin; Duty; Justice; Law; Life and Death; Love,Core (1952),
