GlobalSeq,GreatBooksSet,Evidence,PresentIn1952Set,PresentIn1990Set,EditionNotes,IsGreatBooksCoreOrExpansion,YearLabel,Year,SeqInYear,Author,Work,PlanSelection,FocusSections,Themes,ReadStrategy,IsMissingFromOriginalPlan,PlacementNote,SelectionLogic,GreatIdeas_VolI,GreatIdeas_VolII
1,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,1,Plato,Apology,,Focus: Socrates' defense; 'gadfly' mission; the examined life; sentencing (Read whole; then re-read these anchors),Courage; Dialectic; Duty; Justice; Knowledge; Law; Truth; Education,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Dialectic; Duty; Justice; Knowledge; Law; Education,Truth
2,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,2,Plato,Crito,,Focus: justice vs law; social contract argument; why Socrates refuses escape (Read whole; then re-read these anchors),Law; Justice; Government; Citizen; Duty; Liberty; Dialectic; Education,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Law; Justice; Government; Citizen; Duty; Liberty; Dialectic; Education,
3,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 1,1,3,Aristophanes,Clouds,,Focus: Socratic caricature; education vs tradition; satire of sophistry (Read whole; then re-read these anchors),Education; Art; Custom and Convention; Democracy; Desire; Government; Rhetoric; Experience,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Education; Art; Custom and Convention; Democracy; Desire; Government; Experience,Rhetoric
4,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 1,1,4,Aristophanes,Lysistrata,,Focus: civic comedy; war critique; gender/power reversal; chorus debates (Read whole; then re-read these anchors),Art; Custom and Convention; Democracy; Desire; Education; Government; Rhetoric; Courage,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Democracy; Desire; Education; Government; Courage,Rhetoric
5,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,5,Plato,Republic,Book I-II,Book I-II (Revisit these as anchors after reading the whole work),Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Democracy; Education; Good and Evil; Government; Justice; Law; Liberty,
6,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,6,Aristotle,Nicomachean Ethics,Book I,Book I (Revisit these as anchors after reading the whole work),Duty; Happiness; Justice; Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Duty; Happiness; Justice,Pleasure and Pain; Prudence; Reasoning; Temperance; Virtue and Vice
7,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,7,Aristotle,Politics,Book I,Book I (Revisit these as anchors after reading the whole work),Aristocracy; Citizen; Constitution; Democracy; Government; Law; Monarchy; Oligarchy,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Aristocracy; Citizen; Constitution; Democracy; Government; Law,Monarchy; Oligarchy
8,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,8,Plutarch,Lives,Lycurgus; Numa Pompilius; Lycurgus and Numa Compared; Alexander; Caesar,Lycurgus; Numa Pompilius; Lycurgus and Numa Compared; Alexander; Caesar (Revisit these as anchors after reading the whole work),Courage; Government; History; Honor; Justice; State; Virtue and Vice,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Courage; Government; History; Honor; Justice,State; Virtue and Vice
9,Core (1952),implicit (Bible volumes in Great Books),Yes,Yes,,Yes,Year 1,1,9,New Testament,Gospel of Matthew,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Duty; Justice; Law; Life and Death; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Duty; Justice; Law; Life and Death; Love,Religion; Sin
10,Core (1952),implicit (Bible volumes in Great Books),Yes,Yes,,Yes,Year 1,1,10,New Testament,Acts of the Apostles,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),God; Religion; Sin; Duty; Justice; Law; Life and Death; Love,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Duty; Justice; Law; Life and Death; Love,Religion; Sin
11,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,11,St. Augustine,Confessions,Book I-VIII,Book I-VIII (Revisit these as anchors after reading the whole work),God; Love; Sin; Soul; Time; Truth; Will; Religion,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",God; Love,Sin; Soul; Time; Truth; Will; Religion
12,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,12,Machiavelli,The Prince,,Focus: ch. 6-9 (new princes); ch. 15-19 (virtù/vice); ch. 25-26 (fortune & Italy) (Read whole; then re-read these anchors),Constitution; Government; Law; Prudence; Revolution; State; Tyranny and Despotism,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Constitution; Government; Law,Prudence; Revolution; State; Tyranny and Despotism
13,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,13,Rabelais,Gargantua and Pantagruel,Book I-II,Book I-II (Revisit these as anchors after reading the whole work),Art; Custom and Convention; Education; Good and Evil; Happiness; Language,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Art; Custom and Convention; Education; Good and Evil; Happiness; Language,
14,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,14,Montaigne,Essays,Of Custom...; Of Pedantry; Of the Education of Children; ...; Of Cannibals; ...; Upon Some Verses of Virgil,Of Custom...; Of Pedantry; Of the Education of Children; ...; Of Cannibals; ...; Upon Some Verses of Virgil (Revisit these as anchors after reading the whole work),Custom and Convention; Education; Experience; Opinion; Reasoning; Truth; Virtue and Vice; Knowledge,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Custom and Convention; Education; Experience; Knowledge,Opinion; Reasoning; Truth; Virtue and Vice
15,Core (1952),implicit (covered under 'works of' volume),Yes,Yes,,Yes,Year 1,1,15,Shakespeare,Hamlet,,Focus: Act I (ghost); Act III (to be/not to be; play-within-play); Act V (graveyard; ending) (Read whole; then re-read these anchors),Desire; Emotion; Fate; Good and Evil; Justice; Love; Tyranny and Despotism; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Desire; Emotion; Fate; Good and Evil; Justice; Love,Tyranny and Despotism; War and Peace
16,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,16,Locke,Concerning Civil Government (Second Treatise),,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Government; Constitution; Law; Citizen; Justice; Liberty; Experience; Knowledge,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Government; Constitution; Law; Citizen; Justice; Liberty; Experience; Knowledge,
17,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,17,Rousseau,The Social Contract,Book I-II,Book I-II (Revisit these as anchors after reading the whole work),Citizen; Constitution; Democracy; Government; Justice; Law; Liberty; State,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Constitution; Democracy; Government; Justice; Law; Liberty,State
18,Core (1952),core title,Yes,Yes,,Yes,Year 1,1,18,Gibbon,The Decline and Fall of the Roman Empire,Ch. 15-16,Ch. 15-16 (Revisit these as anchors after reading the whole work),Cause; Government; History; Religion; Revolution; State; War and Peace,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Cause; Government; History,Religion; Revolution; State; War and Peace
19,Core (1952),explicit (named docs list),Yes,Yes,,Yes,Year 1,1,19,American Founding Documents,Declaration of Independence,,Focus: opening (question/terms); one central argument or turning point; a representative example/scene; closing resolution (Read whole; then re-read these anchors),Citizen; Government; Justice; Law; Liberty; Revolution; Constitution; Democracy,"Read entire text. Then: (1) re-read FocusSections, (2) write 3 questions, (3) connect to 1 earlier text.",No,,"Inferred pattern: focus on (1) openings that define the question and key terms, (2) the author's central argument or dramatic turning point, (3) representative examples/experiments, and (4) conclusions or climactic resolutions. Assume full reading; revisit these anchors for the 'great conversation' links.",Citizen; Government; Justice; Law; Liberty; Constitution; Democracy,Revolution
